"","Date","Daylength","Temperature","Chlorophyll_log","Richness"
"1",2014-03-05,11.31361677,0.36,1.57277392806251,293.361084202415
"2",2014-03-05,11.31361677,0.67,1.57277392806251,321.875479473221
"3",2014-03-05,11.31361677,1.51,1.15057202759882,305.861858441458
"4",2014-03-12,11.67630718,1.65,1.3787660946991,190.929505547967
"5",2014-03-19,12.04112826,1.64,1.76473079684014,92.1120015582649
"6",2014-03-28,12.50981163,1.23,0.928219302739429,180.972787162003
"7",2014-03-28,12.50981163,1.23,1.15057202759882,207.92884838992
"8",2014-03-28,12.50981163,1.3,1.25276296849537,218.746730147107
"9",2014-04-02,12.76854341,1.26,0.559615787935423,231.244085313728
"10",2014-04-02,12.76854341,1.32,0.542324290825362,265.465639556877
"11",2014-04-02,12.76854341,1.5,1.04027671165515,160.473707999522
"12",2014-04-09,13.12692129,3.26,0.542324290825362,242.202293297374
"13",2014-04-09,13.12692129,2.43,1.44220199305819,244.425347828504
"14",2014-04-09,13.12692129,1.72,1.30019166206648,312.941888679523
"15",2014-04-16,13.47850774,4.05,2.60046499042227,78.054793188656
"16",2014-04-16,13.47850774,3.98,2.87412945179474,80.7862927087199
"17",2014-04-16,13.47850774,3.1,2.99272776453369,117.084118363443
"18",2014-04-23,13.82021114,6.8,2.87412945179474,155.388542802977
"19",2014-04-23,13.82021114,1.94,2.21266038546606,184.459377958832
"20",2014-04-30,14.14817175,4.1,0.802001585472027,240.665392437981
"21",2014-04-30,14.14817175,3.46,1.05431202977153,227.444627006077
"22",2014-04-30,14.14817175,2.25,0.959350221334602,205.99708632073
"23",2014-05-06,14.41475556,5.39,1.12492959698548,159.086501889676
"24",2014-05-06,14.41475556,4.18,1.30019166206648,213.631642223385
"25",2014-05-06,14.41475556,2.55,0.593326845277734,221.564285291988
"26",2014-05-14,14.74284681,7.91,1.74221902366792,158.016501642655
"27",2014-05-14,14.74284681,4.97,1.74919985480926,141.279778806342
"28",2014-05-14,14.74284681,3.43,1.5993875765806,172.219416547679
"29",2014-05-21,14.99727448,9.77,1.13783300182139,123.282646863096
"30",2014-05-21,14.99727448,7.57,1.08180517035173,140.707929454539
"31",2014-05-21,14.99727448,4.06,1.73518911773966,186.518889895222
"32",2014-05-28,15.21378487,7.42,1.3244189574018,182.798750258884
"33",2014-05-28,15.21378487,6.9,1.88706964903238,152.118197224388
"34",2014-05-28,15.21378487,4.95,1.97408102602201,144.050539410958
"35",2014-06-04,15.38522814,11.3,1.61938824328727,101.087689386961
"36",2014-06-04,15.38522814,9.95,1.66959183525385,102.293241574348
"37",2014-06-04,15.38522814,6.22,0.0953101798043249,148.523474452814
"38",2014-06-11,15.50514853,13.09,1.41827740697294,141.063364331683
"39",2014-06-11,15.50514853,7.19,1.67709656090792,135.753223727331
"40",2014-06-18,15.56859916,11.44,1.35325450704169,137.01621260082
"41",2014-06-18,15.56859916,11.13,1.21194097397511,140.058716358544
"42",2014-06-18,15.56859916,8.4,1.5830939370945,131.01603135612
"43",2014-06-25,15.57286723,14.09,1.56653041142282,123.116392866712
"44",2014-06-25,15.57286723,11.48,1.50407739677627,141.228590416505
"45",2014-06-25,15.57286723,8.92,1.11841491596429,141.349275508515
"46",2014-07-02,15.51790795,17.98,1.26412672714568,156.247106344722
"47",2014-07-02,15.51790795,10.25,1.7561322915849,128.633585184343
"48",2014-07-02,15.51790795,8.8,0.122217632724249,115.206057943872
"49",2014-07-08,15.42558814,10.13,1.61342993370364,162.149401906108
"50",2014-07-08,15.42558814,7.87,0.113328685307003,163.848175621381
"51",2014-07-23,15.0344989,17.88,1.33500106673234,189.507937402271
"52",2014-07-23,15.0344989,10.32,1.11841491596429,163.912514371958
"53",2014-07-30,14.78774657,12.73,1.70292825552144,223.575345638349
"54",2014-08-13,14.20765798,15.19,1.51292701205326,278.018693592397
"55",2014-08-13,14.20765798,13.34,1.66959183525385,292.5002144135
"56",2014-08-20,13.88663347,17.8,1.74919985480926,223.762907870857
"57",2014-08-27,13.55164324,19.2,1.36353737399727,292.452703662149
"58",2014-08-27,13.55164324,15.86,2.18041745901984,226.128790519428
"59",2014-09-03,13.20654485,18.19,1.26412672714568,210.100115605247
"60",2014-09-03,13.20654485,10.34,1.11841491596429,268.842029863965
"61",2014-01-15,9.160169123,3.6,0.476234178996372,428.626184832551
"62",2014-10-08,11.42012135,14.16,1.69744878975681,197.098022650428
"63",2014-10-08,11.42012135,13.88,2.85532011983725,205.778105554321
"64",2014-10-08,11.42012135,12.36,2.66095859356836,251.311688044378
"65",2014-10-15,11.06524962,13.37,1.21194097397511,144.565172322775
"66",2014-10-15,11.06524962,13.23,1.54329810992956,144.299301633028
"67",2014-10-22,10.71684101,12.91,1.82937633279936,179.151276783397
"68",2014-11-05,10.05506364,10.44,2.75174805636793,267.163345073898
"69",2014-11-12,9.752267569,11.69,1.87640694328834,330.390356933909
"70",2014-11-19,9.477249348,10.13,0.887891257352457,279.565636774396
"71",2014-11-26,9.238098057,9.13,0.989541193613748,360.988430165707
"72",2014-11-26,9.238098057,9.29,0.802001585472027,410.866363599758
"73",2014-12-03,9.043397338,6.69,1.22082992139236,296.03260114486
"74",2014-12-03,9.043397338,7.44,0.76080582903376,296.351712344522
"75",2014-01-23,9.421057419,1.04,0.494696241836107,457.638409505571
"76",2014-01-23,9.421057419,2.49,0.512823626428664,474.537033837285
"77",2014-01-23,9.421057419,3.05,0.378436435720245,468.993375121676
"78",2014-12-10,8.901398412,5.55,0.717898328022483,338.174526946058
"79",2014-12-10,8.901398412,5.57,0.58899704320978,328.924305582407
"80",2014-12-10,8.901398412,6.11,0.422033753547705,280.393330599865
"81",2014-01-29,9.650577888,1.13,0.542324290825362,454.730359478069
"82",2014-01-29,9.650577888,2.22,0.593326845277734,422.584790231828
"83",2014-01-29,9.650577888,2.45,0.476234178996372,353.51894669832
"84",2014-02-04,9.903218572,1.41,0.819779831493311,324.944291460338
